title,author,publishTime,category,intro,free,price,cover
算法图解,巴尔加瓦,2017-03-01 00:00:00,计算机-编程设计,本书示例丰富，图文并茂，以简明易懂的方式阐释了算法，旨在帮助程序员在日常项目中更好地利用算法为软件开发助力。前三章介绍算法基础，包括二分查找、大O表示法、两种基本的数据结构以及递归等。余下的篇幅将主要介绍应用广泛的算法，具体内容包括：面对具体问题时的解决技巧，比如何时采用贪婪算法或动态规划；散列表的应用；图算法；K最近邻算法。本书适合所有程序员、计算机专业相关师生以及对算法感兴趣的读者。,0,24.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/916/22806916/s_22806916.jpg
计算机网络,谢希仁编著,2013-06-01 00:00:00,计算机-计算机综合,本书自1989年首次出版以来，于1994年、1999年、2003年、2008年分别出了修订版，2006年8月被纳入普通高等教育“十一五”国家级规划教材，现在正在申报普通高等教育“十二五”国家级规划教材。本次修订版在内容和结构方面都有很大的修改。全书分为10章，比较全面系统地介绍了计算机网络的发展和原理体系结构、物理层、数据链路层、网络层、运输层、应用层、网络安全、因特网上的音频/视频服务、无线网络和下一代因特网等内容。,0,15.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/484/655484/s_655484.jpg
Redis设计与实现,黄健宏,2015-01-01 00:00:00,计算机-编程设计,《Redis设计与实现》对Redis的大多数单机功能以及所有多机功能的实现原理进行了介绍，展示了这些功能的核心数据结构以及关键的算法思想。通过阅读本书，读者可以快速、有效地了解Redis的内部构造以及运作机制，这些知识可以帮助读者更好、更高效地使用Redis。本书主要分为四大部分。第一部分“数据结构与对象”介绍了Redis中的各种对象及其数据结构，并说明这些数据结构如何影响对象的功能和性能。第二部分“单机数据库的实现”对Redis实现单机数据库的方法进行了介绍，包括数据库、RDB持久化、AOF持久化、事件等。第三部分“多机数据库的实现”对Redis的Sentinel、复制（replication）、集群（cluster）三个多机功能进行了介绍。第四部分“独立功能的实现”对Redis中各个相对独立的功能模块进行了介绍，涉及发布与订阅、事务、Lua脚本、排序、二进制位数组、慢查询日志、监视器等。,0,30,https://wfqqreader-1252317822.image.myqcloud.com/cover/0/622000/s_622000.jpg
SQL必知必会（第5版）,本·福达,2020-07-30 00:00:00,计算机-数据库,SQL是使用最为广泛的数据库语言，几乎所有重要的DBMS都支持SQL。本书是麻省理工学院、伊利诺伊大学等众多大学的参考教材，由浅入深地讲解了SQL的基本概念和语法，涉及数据的排序、过滤和分组，以及表、视图、联结、子查询、游标、存储过程和触发器等内容，实例丰富，便于查阅。与其他同类图书不同，本书没有过多阐述数据库基础理论，而是专门针对一线软件开发人员，直接从SQLSELECT开始，讲述实际工作环境中最常用和最必需的SQL知识，实用性极强。新版对书中的案例进行了全面的更新，并增加了章后挑战题，便于读者巩固所学知识。,0,28.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/685/34336685/s_34336685.jpg
Java核心技术·卷Ⅰ：基础知识（原书第10版）,凯S.霍斯特曼,2016-09-01 00:00:00,计算机-计算机综合,本书是《Java核心技术》第10版的卷Ⅰ。自《Java核心技术》出版以来，每个新版本都尽可能快地跟上Java开发工具箱发展的步伐，而且每一版都重新改写了部分内容，以便适应Java的最新特性。在这一版中，已经反映了Java标准版（Java SE 8）的特性。与前几版一样，本版仍然将读者群定位在那些打算将Java应用到实际工程项目中的程序设计人员。本书假设读者是一名具有程序设计语言（除Java之外）坚实背景知识的程序设计人员，并且不希望书中充斥着玩具式的示例（诸如，烤面包机、动物园的动物或神经质的跳动文本）。这些内容绝对不会在本书中出现。本书的目标是让读者充分理解书中介绍的Java语言及Java类库的相关特性，而不会产生任何误解。在本书中，我们选用大量的示例代码演示所讨论的每一个语言特性和类库特性。我们有意使用简单的示例程序以突出重点，然而，其中的大部分既不是赝品也没有偷工减料。它们将成为读者自己编写代码的良好开端。,0,40,https://wfqqreader-1252317822.image.myqcloud.com/cover/978/840978/s_840978.jpg
计算机是怎样跑起来的,矢泽久雄,2015-05-01 00:00:00,计算机-理论知识,本书倡导在计算机迅速发展、技术不断革新的今天，回归到计算机的基础知识上。通过探究计算机的本质，提升工程师对计算机的兴趣，在面对复杂的最新技术时，能够迅速掌握其要点并灵活运用。本书以图配文，以计算机的三大原则为开端、相继介绍了计算机的结构、手工汇编、程序流程、算法、数据结构、面向对象编程、数据库、TCP/IP 网络、数据加密、XML、计算机系统开发以及SE 的相关知识。图文并茂，通俗易懂，非常适合计算机爱好者和相关从业人员阅读。,0,29.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/760/907760/s_907760.jpg
深入理解Java虚拟机：JVM高级特性与最佳实践（第2版）,周志明,2013-06-01 00:00:00,计算机-编程设计,全书共分为五大部分，围绕内存管理、执行子系统、程序编译与优化、高效并发等核心主题对JVM进行了全面而深入的分析，深刻揭示了JVM的工作原理。第一部分从宏观的角度介绍了整个Java技术体系、Java和JVM的发展历程、模块化，以及JDK的编译，这对理解本书后面内容有重要帮助。第二部分讲解了JVM的自动内存管理，包括虚拟机内存区域的划分原理以及各种内存溢出异常产生的原因；常见的垃圾收集算法以及垃圾收集器的特点和工作原理；常见虚拟机监控与故障处理工具的原理和使用方法。第三部分分析了虚拟机的执行子系统，包括类文件结构、虚拟机类加载机制、虚拟机字节码执行引擎。第四部分讲解了程序的编译与代码的优化，阐述了泛型、自动装箱拆箱、条件编译等语法糖的原理；讲解了虚拟机的热点探测方法、HotSpot的即时编译器、编译触发条件，以及如何从虚拟机外部观察和分析JIT编译的数据和结果；第五部分探讨了Java实现高效并发的原理，包括JVM内存模型的结构和操作；原子性、可见性和有序性在Java内存模型中的体现；先行发生原则的规则和使用；线程在Java语言中的实现原理；虚拟机实现高效并发所做的一系列锁优化措施。,0,30,https://wfqqreader-1252317822.image.myqcloud.com/cover/120/603120/s_603120.jpg
利用Python进行数据分析（原书第2版）,韦斯·麦金尼,2018-06-01 00:00:00,计算机-数据库,阅读本书可以获得关于在Python下操作、处理、清洗、规整数据集的完整说明。本书第2版针对Python 3.6进行了更新，并增加了实际案例向你展示如何高效地解决一系列数据分析问题。你将在阅读过程中学习到最新版本的pandas、NumPy、IPython和Jupyter。,0,60,https://wfqqreader-1252317822.image.myqcloud.com/cover/904/22739904/s_22739904.jpg
图解HTTP,上野宣,2014-05-01 00:00:00,计算机-计算机综合,本书对互联网基盘——HTTP协议进行了全面系统的介绍。作者由HTTP协议的发展史娓娓道来，严谨细致地剖析了HTTP协议的结构，列举诸多常见通信场景及实战案例，最后延伸到Web安全、最新技术动向等方面。本书的特色为在讲解的同时，辅以大量生动形象的通信图例，更好地帮助读者深刻理解HTTP通信过程中客户端与服务器之间的交互情况。读者可通过本书快速了解并掌握HTTP协议的基础，前端工程师分析抓包数据，后端工程师实现REST API、实现自己的HTTP服务器等过程中所需的HTTP相关知识点本书均有介绍。本书适合Web开发工程师，以及对HTTP协议感兴趣的各层次读者。,0,29.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/764/907764/s_907764.jpg
你不知道的JavaScript（上卷）,凯尔辛普森,2015-04-01 00:00:00,计算机-编程设计,很多人对JavaScript这门语言的印象都是简单易学，很容易上手。JavaScript语言本身有很多复杂的概念，语言的使用者不必深入理解这些概念也可以编写出功能全面的应用。殊不知，这些复杂精妙的概念才是语言的精髓，即使是经验丰富的JavaScript开发人员，如果没有认真学习的话也无法真正理解它们。在本书中，我们要直面当前JavaScript开发者不求甚解的大趋势，深入理解语言内部的机制。本书既适合JavaScript语言初学者阅读，又适合经验丰富的JavaScript开发人员深入学习。,0,24.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/945/22806945/s_22806945.jpg
流畅的Python,卢西亚诺·拉马略,2017-05-01 00:00:00,计算机-编程设计,本书致力于帮助Python开发人员挖掘这门语言及相关程序库的优秀特性，避免重复劳动，同时写出简洁、流畅、易读、易维护，并且具有地道Python风格的代码。本书尤其深入探讨了Python语言的高级用法，涵盖数据结构、Python风格的对象、并行与并发，以及元编程等不同的方面。,0,69.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/910/22806910/s_22806910.jpg
MySQL必知必会,Ben Forta,2008-12-01 00:00:00,计算机-数据库,MySQL是世界上最受欢迎的数据库管理系统之一。书中从介绍简单的数据检索开始，逐步深入一些复杂的内容，包括联结的使用、子查询、正则表达式和基于全文本的搜索、存储过程、游标、触发器、表约束，等等。通过重点突出的章节，条理清晰、系统而扼要地讲述了读者应该掌握的知识，使他们不经意间立刻功力大增。本书注重实用性，操作性很强，适用于广大软件开发和数据库管理人员学习参考。,0,18,https://wfqqreader-1252317822.image.myqcloud.com/cover/965/22806965/s_22806965.jpg
程序是怎样跑起来的,矢泽久雄,2015-04-01 00:00:00,计算机-编程设计,日文版重印41次，“计算机组成原理”图解趣味版，蹲马桶就能看懂的编程基础知识！本书适合：菜鸟程序员入门进阶；中级程序员查漏补缺；高手程序员向家人（女友、老妈等）普及计算机知识。如何向小学生讲解CPU和二进制？如何向中学生讲解内存和磁盘？如何向女高中生讲解操作系统的原理？如何向老奶奶说明显示器和电视的不同？如果你完全没有思路，就应该读一读这本书。以图配文，深入讲解编程基础知识；语言通俗，即使是文科生也能看得懂。,0,19.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/761/907761/s_907761.jpg
零基础入门学习Python（第2版）,小甲鱼,2019-06-01 00:00:00,计算机-编程设计,本书提倡理解为主，应用为王。因此，只要有可能，小甲鱼（注：作者）都会通过生动的实例来让大家理解概念。虽然这是一本入门书籍，但本书的“野心”并不止于“初级水平”的教学。本书前半部分首先讲解基础的Python 3语法知识，包括列表、元组、字符串、字典以及各种语句；之后循序渐进地介绍一些相对高级的主题，包括抽象、异常、魔法方法以及属性迭代器。后半部分则围绕着Python 3在爬虫、界面开发和游戏开发上的应用，通过实例引导读者进行深入学习和探究，既富有乐趣，又锻炼了读者的动手能力。本书适合学习Python 3的入门读者，也适合对编程一无所知，但渴望用编程改变世界的朋友们。,0,62.3,https://wfqqreader-1252317822.image.myqcloud.com/cover/693/27111693/s_27111693.jpg
Python工匠：案例、技巧与工程实践,朱雷,2022-03-01 00:00:00,计算机-编程设计,本书基于受欢迎的“Python工匠”系列开源文章。全书从工程实践角度出发，通过剖析核心知识、展示典型案例与总结实用技巧，帮助大家系统进阶Python，写好工程代码，做好实践项目。  本书共计13章，分为五大部分：变量与基础类型、语法结构、函数与装饰器、面向对象编程、总结与延伸，涵盖Python编程的方方面面。本书的写作方式别具一格，核心知识点都会通过三大板块来阐述：基础知识、案例故事、编程建议。其中基础知识帮助大家快速回顾Python基础；案例故事由作者经历的编程项目与案例改编而来，兼具实战性与趣味性；编程建议以大家喜闻乐见的条目式知识点呈现，短小精悍，可直接应用于自己的编程实践中。,0,49.9,https://weread-1258476243.file.myqcloud.com/weread/cover/68/3300018868/s_3300018868.jpg
架构整洁之道,罗伯特·C·马丁,2018-09-01 00:00:00,计算机-数据库,《架构整洁之道》是创造“Clean神话”的Bob大叔在架构领域的登峰之作，围绕“架构整洁”这一重要导向，系统地剖析其缘起、内涵及应用场景，涵盖软件研发完整过程及所有核心架构模式。本书分为6 部分，第1部分纲领性地提出软件架构设计的终极目标，描述软件架构设计的重点与模式；第2~4部分从软件开发中三个基础编程范式的定义和特征出发，进一步描述函数、组件、服务设计与实现的定律，以及它们是如何有效构建软件系统的整体架构的；第5部分从整洁架构的定义开始，详细阐述软件架构设计过程中涉及的方方面面，包括划分内部组件边界、应用常见设计模式、避开错误、减少成本、处理特殊情况等，并以实战案例将内容有机整合起来；第6部分讲述具体实现细节；附录则透过作者数十年的软件从业经历再次印证本书的观点。,0,49.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/210/33692210/s_33692210.jpg
大话数据结构,程杰,2011-06-01 00:00:00,计算机-编程设计,大话数据结构》为超级畅销书《大话设计模式》作者程杰潜心三年推出的扛鼎之作！以一个计算机教师教学为场景，讲解数据结构和相关算法的知识。通篇以一种趣味方式来叙述，大量引用了各种各样的生活知识来类比，并充分运用图形语言来体现抽象内容，对数据结构所涉及到的一些经典算法做到逐行分析、多算法比较。与市场上的同类数据结构图书相比，本书内容趣味易读，算法讲解细致深刻，是一本非常适合自学的读物。,0,41,https://weread-1258476243.file.myqcloud.com/weread/cover/57/3300013357/s_3300013357.jpg
Kubernetes权威指南：从Docker到Kubernetes实践全接触（第4版）,龚正等,2019-05-01 00:00:00,计算机-理论知识,Kubernetes是由谷歌开源的Docker容器集群管理系统，为容器化的应用提供了资源调度、部署运行、服务发现、扩容及缩容等一整套功能。本书从架构师、开发人员和运维人员的角度，阐述了Kubernetes的基本概念、实践指南、核心原理、开发指导、运维指南、新特性演进等内容，图文并茂、内容丰富、由浅入深、讲解全面；并围绕在生产环境中可能出现的问题，给出了大量的典型案例，比如安全配置方案、网络方案、共享存储方案、高可用方案及TroubleShooting技巧等，有很强的实战指导意义。本书内容随着Kubernetes的版本更新不断完善，目前涵盖了Kubernetes从1.0到1.14版本的主要特性，努力为Kubernetes用户提供全方位的Kubernetes技术指南。本书源码已上传至GitHub的kubeguide/K8sDefinitiveGuide-V4-Sourcecode目录，可自行下载本书源码进行练习。无论是对于软件工程师、测试工程师、运维工程师、软件架构师、技术经理，还是对于资深IT人士，本书都极具参考价值。,0,117.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/916/26297916/s_26297916.jpg
我的第一本算法书,宫崎修一 石田保辉,2018-10-29 00:00:00,计算机-编程设计,本书采用大量图片，通过详细的分步讲解，以直观、易懂的方式展现了7个数据结构和26个基础算法的基本原理。第1章介绍了链表、数组、栈等7个数据结构；从第2章到第7章，分别介绍了和排序、查找、图论、安全、聚类等相关的26个基础算法，内容涉及冒泡排序、二分查找、广度优先搜索、哈希函数、迪菲-赫尔曼密钥交换、k-means 算法等。本书没有枯燥的理论和复杂的公式，而是通过大量的步骤图帮助读者加深对数据结构原理和算法执行过程的理解，便于学习和记忆。将本书作为算法入门的第一步，是非常不错的选择。,0,44.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/186/25016186/s_25016186.jpg
深入理解Kafka：核心设计与实践原理,朱忠华,2019-01-01 00:00:00,计算机-编程设计,本书从Kafka的基础概念切入，循序渐进地转入对其内部原理的剖析。本书主要阐述了Kafka中生产者客户端、消费者客户端、主题与分区、日志存储、原理解析、监控管理、应用扩展及流式计算等内容。虽然Kafka的内核使用Scala语言编写，但本书基本以Java语言作为主要的示例语言，方便大多数读者的理解。虽然本书没有明确的界定，但总体上可以划分为三个部分：基础篇、原理篇和扩展篇，前4章为基础篇，包括基础概念、生产者、消费者，以及主题与分区，学习完这4章的内容完全可以应对绝大多数的开发场景。第5章至第8章为原理篇，包括对日志存储、协议设计、控制器、组协调器、事务、一致性、可靠性等内容的探究，学习完这4章的内容可以让读者对Kafka有一个深刻的认知。最后4章从应用扩展层面来做讲解，可以归类为扩展篇，主要内容包括监控、应用工具、应用扩展（延时队列、重试队列、死信队列、消息轨迹等）、与Spark的集成等，让读者可以对Kafka的生态有一个更加全面的认知。本,0,69.3,https://wfqqreader-1252317822.image.myqcloud.com/cover/424/25462424/s_25462424.jpg
C语言程序设计：现代方法（第2版）,K.N.King,2010-03-11 00:00:00,计算机-编程设计,时至今日， C语言仍然是计算机领域的通用语言之一，但今天的 C语言已经和最初的时候大不相同了。本书最主要的一个目的就是通过一种“现代方法”来介绍 C语言，书中强调标准 C，强调软件工程，不再强调“手工优化”。这一版中紧密结合了 C99标准，并与 C89标准进行对照，补充了 C99中的最新特性。本书分为 C语言的基础特性、 C语言的高级特性、 C语言标准库和参考资料 4个部分。每章末尾都有一个“问与答”小节给出一系列与该章内容相关的问题及答案，此外还包含适量的习题。本书是为大学本科阶段的C语言课程编写的教材，同时也非常适合作为其他课程的辅助用书。,0,44.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/737/31359737/s_31359737.jpg
第一行代码：Android（第2版）,郭霖,2016-12-01 00:00:00,计算机-计算机综合,本书被Android开发者誉为“Android学习第一书”。全书系统全面、循序渐进地介绍了Android软件开发的必备知识、经验和技巧。《第一行代码》（第2版）基于Android 7.0对第1版进行了全面更新，将所有知识点都在最新的Android系统上进行了重新适配，使用全新的Android Studio开发工具代替之前的Eclipse，并添加了对Material Design、运行时权限、多窗口模式、Gradle、RecyclerView、百分比布局、OkHttp、Lambda表达式等全新知识点的详细讲解。本书内容通俗易懂，由浅入深，既是Android初学者的入门必备，也是Android开发者的进阶首选。,0,39.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/889/26211889/s_26211889.jpg
Java高并发核心编程（卷2）：多线程、锁、JMM、JUC、高并发设计模式,尼恩编著,2021-05-01 00:00:00,计算机-编程设计,本书聚焦Java高并发编程基础知识，介-绍Java多线程、线程池、内置锁、JMM、CAS、JUC、高并发设计模式等并发编程方面的核心原理和实战知识。本书共10章。第1、2章剖析多线程、线程池的核心原理和实战应用，揭秘线程安全问题和Java内置锁的核心原理。第3、4章讲解CAS原理与JUC原子类、JMM的核心原理，揭秘CAS操作的弊端和两类规避措施，以及Java内存可见性和volatile关键字的底层知识。第5章讲解JUC显式锁的原理和各种显式锁的使用。第6章阐述JUC高并发的基础设施——AQS抽象同步器的核心原理。第7章介绍JUC容器类。第8~10章介绍常见的Java高并发设计模式的原理和使用。本书既可以作为Java工程师、架构师的编程参考书，又可以作为参加互联网大厂面试、笔试的人员的学习参考书。,0,77.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/745/38103745/s_38103745.jpg
秒懂设计模式,刘韬,2020-11-01 00:00:00,计算机-编程设计,本书共计25章，以轻松、幽默、浅显易懂的文风从面向对象编程、面向对象三大特性的理论基础开篇，然后系统且详细地讲解了单例、原型、工厂方法、抽象工厂、建造者、门面、组合、装饰器、适配器、享元、代理、桥接、模板方法、迭代器、责任链、策略、状态、备忘录、中介、命令、访问者、观察者及解释器等23种设计模式的概念及结构机理，最后以六大设计原则收尾，全面地解析归纳了软件设计准则，参透设计模式的本质。本书引入了很多贴近生活的真实范例，并配有大量生动形象的插图，再结合相关例程代码实战演练，循序渐进、深入浅出，引导读者探究设计模式的哲学真谛。本书面向广大的软件设计工作者，包括但不限于各个层次从事面向对象编程语言开发的软件开发、设计、架构等工程技术人员，也可以作为大专院校相关专业教学用书和培训学校的教材。,0,51.14,https://wfqqreader-1252317822.image.myqcloud.com/cover/628/39201628/s_39201628.jpg
Web前端开发精品课 HTML CSS JavaScript基础教程,莫振杰,2017-09-01 00:00:00,计算机-编程设计,本书紧密围绕网页设计师在制作网页过程中的实际需要和应该掌握的技术，全面介绍了如何使用HTML、CSS、JavaScrip以及前端框架进行网站建设和网页设计。从“内功”到“招式”，全书贯穿了不同行业的多种实例，各实例均经过精心设计，操作步骤清晰简明，技术分析深入浅出，能够帮助读者沉浸在真实的开发状态中。这样，无论以后是面对公司的面试，还是真实的工作需求，读者都能够跨过“所学”与“所用”之间的鸿沟。此外，本书还精心配备了PPT电子课件，便于老师课堂教学和学生把握知识要点。,0,44.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/897/37730897/s_37730897.jpg
